id,name,created_at,advertisers_entities.id,entities.short_name,entities.is_active,entities.is_political,countries.name,countries.alpha2,advertisers_platforms.advertiser_platform_ref,advertisers_platforms.advertiser_platform_name,platforms.name
09464712-ed1e-4fba-9060-23f59f9371c9,Lewica - Wrocław,2023-06-19T18:23:24.180Z,1bedfdf1-5a10-4cb1-9eb0-7cb0b3e16177,LEW,true,true,Poland,pl,393732600638655,Lewica - Wrocław,Facebook
418d17d5-4597-43a3-bb50-4f1cd8f0e152,"Zofia Szozda - członkini zarządu Strajku Kobiet, przewodnicząca Rady Kobiet",2023-04-21T06:51:32.307Z,861d5b1a-6625-4913-bbe3-193ccd134d41,LEW,true,true,Poland,pl,100631585274401,"Zofia Szozda - członkini zarządu Strajku Kobiet, przewodnicząca Rady Kobiet",Facebook
662551f1-52e3-4bca-9c75-186b5e637b01,"Prof. Marek GZIK, radny Sejmiku Województwa Śląskiego",2022-11-09T15:44:01.200Z,ef952615-fe81-4d54-908c-3cf08f8988df,KO,true,true,Poland,pl,254609585192595,"Prof. Marek GZIK, radny Sejmiku Województwa Śląskiego",Facebook
a36dedf4-8a34-48d5-8de4-d678031ec640,Tomasz Siemoniak,2023-03-16T10:51:38.204Z,bf3f4748-22e5-4acc-b3bb-0ee2c393ed80,KO,true,true,Poland,pl,293189730719641,Tomasz Siemoniak,Facebook
51aed120-d769-4b88-901e-50ce837ae22a,Kurier Gdyński,2022-11-09T15:44:04.876Z,4318e676-fa99-4674-a33e-5322eba1697a,ZP,true,true,Poland,pl,103400032276622,Kurier Gdyński,Facebook
3c98c675-ff72-4520-9a24-82c4e9b2fa92,Maciej Kopiec,2023-06-11T06:51:16.041Z,c0cfbd8a-b48b-4d48-a668-6f70d0feadd1,LEW,true,true,Poland,pl,106357050731361,Maciej Kopiec,Facebook
7be6db4a-8892-4025-a623-64a92a9b594e,Bydgoski Ruch Miejski,2022-11-09T15:44:05.344Z,61dcc6d9-f979-4571-8a17-8f4183f4e89c,INNY,true,true,Poland,pl,1396767420366533,Bydgoski Ruch Miejski,Facebook
57f8dd84-781c-438f-acbd-88bf6aa39f17,Powiat Bytowski - blog,2022-11-09T15:44:03.938Z,2fad622d-590f-45c6-9724-2dacc3fa1ef0,INNY,true,true,Poland,pl,103842428672750,Powiat Bytowski - blog,Facebook
ecc9fbf5-c405-4bcb-9a07-6354b4331ede,Jan Grabiec,2023-03-10T10:51:27.034Z,ef44c3f9-6988-42fa-8041-d5d63d2c2b83,KO,true,true,Poland,pl,1431092387136668,Jan Grabiec,Facebook
1439a8c4-d091-4ba4-affb-228ad3f9ab83,Ruch Samorządowy Tak Dla Polski,2023-03-08T19:28:51.610Z,840f64d8-fd5c-4b95-afed-60c513f714bf,INNY,true,true,Poland,pl,306978473587775,Ruch Samorządowy Tak Dla Polski,Facebook
